"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
7,315946303E0	-1,444050074E0	4,663950443E0	9,784950256E0
7,336109783E0	-1,498950124E0	4,759950161E0	9,433050156E0
7,356273434E0	-1,555950046E0	4,726050377E0	9,439949989E0
7,376437100E0	-1,101000071E0	4,531949997E0	8,758049965E0
7,396600581E0	-6,780000329E-1	4,417950153E0	7,707000256E0
7,416764182E0	-7,690500617E-1	4,635000229E0	7,246950150E0
7,436927634E0	-6,799500585E-1	4,912950039E0	6,871050358E0
7,457091271E0	-6,150000095E-1	5,236050129E0	6,736950397E0
7,477254971E0	-7,590000629E-1	5,476050377E0	7,003050327E0
7,497418683E0	-1,252050042E0	5,776950359E0	7,612950325E0
7,517582073E0	-1,770000100E0	5,859000206E0	8,449049950E0
7,537745769E0	-1,722000122E0	5,526000500E0	9,298950195E0
7,557909452E0	-1,240050077E0	5,128950119E0	9,802050591E0
7,578072937E0	-8,359500170E-1	5,002050400E0	9,394950867E0
7,598236648E0	-1,216050029E0	4,908000469E0	9,193950653E0
7,618400033E0	-1,534950018E0	5,028000355E0	9,615000725E0
7,638563725E0	-1,140000105E0	4,698000431E0	8,949000359E0
7,658727315E0	-5,320500135E-1	4,621050358E0	7,651950359E0
7,678890778E0	-5,770500302E-1	4,828950405E0	6,865950108E0
7,699054462E0	-8,599500656E-1	5,119050026E0	6,523950100E0
7,719218067E0	-1,045950055E0	5,386950493E0	6,610050201E0
7,739381514E0	-1,141950011E0	5,488050461E0	7,012050152E0
7,759545127E0	-1,651950121E0	5,266950130E0	8,173950195E0
7,779708797E0	-1,987050056E0	5,137950420E0	8,956950188E0
7,799872259E0	-1,803000093E0	4,795950413E0	9,535950661E0
7,820035891E0	-1,456050038E0	4,570950031E0	9,409049988E0
7,840199586E0	-1,480050087E0	4,633050442E0	8,832000732E0
7,860363057E0	-1,267050028E0	4,657050133E0	8,131050110E0
7,880526685E0	-9,510000348E-1	4,936950207E0	7,450950146E0
7,900690360E0	-6,730500460E-1	5,197950363E0	6,382950306E0
7,920854053E0	-7,950000167E-1	5,349000454E0	6,526050091E0
7,941017519E0	-1,534950018E0	5,245950222E0	8,185950279E0
7,961181140E0	-1,975050092E0	4,948950291E0	9,912000656E0
7,981344612E0	-1,731000066E0	4,437000275E0	1,107300091E1
8,001508238E0	-7,540500164E-1	4,189949989E0	1,027605057E1
8,021671937E0	-3,090000153E-1	4,582950115E0	8,590050697E0
8,041835372E0	-5,509500504E-1	4,828950405E0	7,939050198E0
8,061998992E0	-9,910500646E-1	4,984950066E0	8,101950645E0
8,082162682E0	-1,057950020E0	5,239050388E0	7,621050358E0
8,102326375E0	-1,351050019E0	5,494950294E0	7,120050430E0
8,122489846E0	-1,681050062E0	5,689050198E0	7,282950401E0
8,142653481E0	-1,789050102E0	5,614950180E0	8,593050003E0
8,162817168E0	-1,671000123E0	5,277000427E0	9,225000381E0
8,182980630E0	-1,212000012E0	5,004000187E0	8,722050667E0
8,203144245E0	-1,204050064E0	4,920000076E0	8,830050468E0
8,223307923E0	-1,276050091E0	5,023050308E0	8,727000237E0
8,243471370E0	-1,204050064E0	4,930050373E0	8,322000504E0
8,263634975E0	-1,458000064E0	4,738050461E0	8,635950089E0
8,283798439E0	-1,401000023E0	4,561050415E0	9,031050682E0
8,303962115E0	-7,590000629E-1	4,522950172E0	8,844000816E0
8,324125716E0	-5,389500260E-1	4,777050018E0	7,561050415E0
