"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
5,402311032E0	2,904375076E1	3,660000229E1	-4,638750076E1
5,422101284E0	2,885625076E1	3,641250229E1	-4,620000076E1
5,441941353E0	2,928750038E1	3,611250305E1	-4,578750229E1
5,461835976E0	2,928750038E1	3,581250000E1	-4,565625000E1
5,481819948E0	2,910000038E1	3,558750153E1	-4,571250153E1
5,501779970E0	2,934375191E1	3,558750153E1	-4,595625305E1
5,521824107E0	2,940000153E1	3,551250076E1	-4,590000153E1
5,541919494E0	2,945625114E1	3,570000076E1	-4,578750229E1
5,562063864E0	2,994375038E1	3,570000076E1	-4,590000153E1
5,582217057E0	3,024375153E1	3,570000076E1	-4,571250153E1
5,602337946E0	3,000000191E1	3,600000000E1	-4,601250076E1
5,622420687E0	2,994375038E1	3,630000305E1	-4,631250000E1
5,642471174E0	2,988750076E1	3,618750000E1	-4,655625153E1
5,662507834E0	2,988750076E1	3,635625076E1	-4,655625153E1
5,682523172E0	2,994375038E1	3,641250229E1	-4,680000305E1
5,702533968E0	2,964375114E1	3,648750305E1	-4,691250229E1
5,722298142E0	2,904375076E1	3,665625000E1	-4,728750229E1
5,742342820E0	2,880000114E1	3,695625305E1	-4,751250076E1
5,762385474E0	2,874375153E1	3,708750153E1	-4,770000076E1
5,782414698E0	2,880000114E1	3,738750076E1	-4,758750153E1
5,802432092E0	2,880000114E1	3,780000305E1	-4,751250076E1
5,822452098E0	2,850000191E1	3,780000305E1	-4,745625305E1
5,842461188E0	2,850000191E1	3,791250229E1	-4,745625305E1
5,862464163E0	2,880000114E1	3,810000229E1	-4,728750229E1
5,882471881E0	2,885625076E1	3,821250153E1	-4,685625076E1
5,902470826E0	2,885625076E1	3,815625000E1	-4,698750305E1
5,922464737E0	2,898750114E1	3,810000229E1	-4,691250229E1
5,942465955E0	2,874375153E1	3,791250229E1	-4,698750305E1
5,962462892E0	2,855625153E1	3,785625076E1	-4,698750305E1
5,982466469E0	2,855625153E1	3,780000305E1	-4,740000153E1
6,002464252E0	2,838750076E1	3,791250229E1	-4,728750229E1
6,022458346E0	2,790000153E1	3,780000305E1	-4,745625305E1
6,042461389E0	2,808750153E1	3,755625153E1	-4,751250076E1
6,062459548E0	2,795625114E1	3,755625153E1	-4,740000153E1
6,082454423E0	2,784375191E1	3,738750076E1	-4,728750229E1
6,102456749E0	2,765625191E1	3,708750153E1	-4,721250153E1
6,122455136E0	2,754375076E1	3,708750153E1	-4,745625305E1
6,142451322E0	2,754375076E1	3,725625229E1	-4,691250229E1
6,162454607E0	2,748750114E1	3,701250076E1	-4,680000305E1
6,182218837E0	2,760000038E1	3,720000076E1	-4,680000305E1
6,202269048E0	2,765625191E1	3,738750076E1	-4,680000305E1
6,222321197E0	2,784375191E1	3,750000000E1	-4,680000305E1
6,242362016E0	2,790000153E1	3,755625153E1	-4,661250305E1
6,262400394E0	2,814375114E1	3,780000305E1	-4,638750076E1
6,282426254E0	2,838750076E1	3,750000000E1	-4,625625229E1
6,302440804E0	2,838750076E1	3,720000076E1	-4,631250000E1
6,322458058E0	2,855625153E1	3,695625305E1	-4,638750076E1
6,342466547E0	2,868750191E1	3,648750305E1	-4,638750076E1
6,362467492E0	2,850000191E1	3,605625153E1	-4,625625229E1
6,382472675E0	2,850000191E1	3,588750076E1	-4,631250000E1
6,402470447E0	2,850000191E1	3,575625229E1	-4,650000000E1
6,422465569E0	2,855625153E1	3,558750153E1	-4,661250305E1
6,442466371E0	2,850000191E1	3,581250000E1	-4,638750076E1
