"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
6,842101773E0	-5,512375236E-1	-1,854874939E-1	-6,091250107E-2
6,862265558E0	-5,011875033E-1	-5,313000083E-1	-1,237499993E-3
6,882429264E0	-2,065249979E-1	-5,398250222E-1	-6,091250107E-2
6,902592644E0	1,394249946E-1	-2,418625057E-1	-2,173874974E-1
6,922756327E0	5,139750242E-1	-2,158750035E-2	-2,993375063E-1
6,942920014E0	7,204999924E-1	-5,128749833E-2	-3,238124847E-1
6,963083616E0	6,619250178E-1	-8,758749813E-2	-3,503499925E-1
6,983247073E0	3,650625050E-1	3,272499889E-2	-3,238124847E-1
7,003410674E0	-1,168750040E-2	2,657875121E-1	-2,300374955E-1
7,023574352E0	-3,415499926E-1	4,945875108E-1	-8,538749814E-2
7,043738044E0	-5,130124688E-1	3,935250044E-1	5,829999968E-2
7,063901419E0	-3,639625013E-1	-1,471250057E-1	7,218749821E-2
7,084064883E0	-1,297999918E-1	-6,249374747E-1	-6,833750010E-2
7,104228587E0	-1,032624990E-1	-5,259374976E-1	-2,737624943E-1
7,124391945E0	-1,329624951E-1	-9,281250089E-2	-3,620375097E-1
7,144555625E0	3,932499886E-2	1,615625024E-1	-2,854500115E-1
7,164719223E0	2,958999872E-1	-9,899999946E-3	-1,067000031E-1
7,184882907E0	4,353249967E-1	-2,822875082E-1	4,551250115E-2
7,205046365E0	2,851749957E-1	-3,748250008E-1	-2,681249939E-2
7,225210006E0	4,895000160E-2	-2,439250052E-1	-1,300749928E-1
7,245373711E0	-1,053249985E-1	1,445125043E-1	-1,354375035E-1
7,265537154E0	-1,362625062E-1	5,787374973E-1	-6,201250106E-2
7,285700747E0	-9,790000319E-2	6,329125166E-1	4,661250114E-2
7,305864237E0	-1,704999991E-2	2,839374840E-1	1,231999993E-1
7,326027910E0	-7,136250287E-2	-1,067000031E-1	5,197500065E-2
7,346191634E0	-6,599999964E-2	-1,599124968E-1	3,024999984E-3
7,366355254E0	1,297999918E-1	-9,171249717E-2	3,918749839E-2
7,386518747E0	3,363249898E-1	-3,107500076E-2	3,698749840E-2
7,406682338E0	3,884375095E-1	-1,306249946E-2	-2,571249940E-2
7,426845776E0	3,926999867E-1	-2,584999986E-2	-5,664999783E-2
7,447009490E0	3,170749843E-1	-4,606249928E-2	-8,318749815E-2
7,467173129E0	1,872749925E-1	4,661250114E-2	-8,744999766E-2
7,487336833E0	2,653750032E-2	1,955250055E-1	-8,744999766E-2
7,507500300E0	-1,308999956E-1	3,722124994E-1	-2,364999987E-2
7,527663919E0	-2,532750070E-1	4,211624861E-1	9,762500226E-2
7,547827615E0	-3,107500076E-1	2,924624979E-1	1,934625059E-1
7,567991065E0	-3,320625126E-1	-4,386249930E-2	1,615625024E-1
7,588154727E0	-3,150124848E-1	-2,003374994E-1	5,719999969E-2
7,608318204E0	-2,351250052E-1	-1,482249945E-1	-2,048750035E-2
