"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
4,833444934E0	2,692250013E-1	-8,098750114E-1	-6,764999777E-2
4,853607089E0	1,010624990E-1	-9,363749623E-2	-1,473999918E-1
4,873769473E0	1,425874978E-1	6,641250253E-1	-1,325500011E-1
4,893931666E0	1,606000066E-1	7,310875058E-1	-4,523750022E-2
4,914093897E0	-2,246749997E-1	8,084999770E-2	-2,749999985E-3
4,934256041E0	-8,322874904E-1	-3,947624862E-1	8,456250280E-2
4,954418419E0	-1,190887451E0	-5,637500063E-2	1,622499973E-1
4,974580566E0	-9,642875195E-1	5,022875071E-1	2,282499894E-2
4,994743024E0	-2,714250088E-1	4,703874886E-1	-3,645125031E-1
5,014904949E0	4,596624970E-1	4,448125064E-1	-7,125250101E-1
5,035067334E0	9,151999950E-1	5,055875182E-1	-7,486875057E-1
5,055229488E0	1,065212488E0	2,352624983E-1	-5,603125095E-1
5,075391729E0	1,023687482E0	-3,830749989E-1	-2,527250051E-1
5,095554097E0	9,246875048E-1	-9,257875085E-1	9,102500230E-2
5,115716255E0	7,396125197E-1	-1,302537441E0	3,964124918E-1
5,135878409E0	2,351250052E-1	-1,603662491E0	6,699000001E-1
5,156040642E0	-5,704874992E-1	-1,164212465E0	8,773875237E-1
5,176202786E0	-9,685499668E-1	4,262499884E-2	1,051874995E0
5,196365179E0	-6,290624738E-1	6,289250255E-1	1,120074987E0
5,216527418E0	-1,182499994E-2	1,926375031E-1	8,497499824E-1
5,236689569E0	4,585624933E-1	-2,160124928E-1	3,113000095E-1
5,256851961E0	9,684125185E-1	-5,004999787E-2	4,413750023E-2
5,277014112E0	1,438662529E0	1,533125043E-1	2,172499895E-2
5,297176334E0	1,435500026E0	-4,358749837E-2	4,729999974E-2
5,317338487E0	8,438374996E-1	-3,671250045E-1	1,292500049E-1
5,337500636E0	-6,710000336E-2	-2,543750107E-1	2,590500116E-1
5,357663019E0	-5,651249886E-1	4,225375056E-1	3,761999905E-1
5,377825257E0	-3,448500037E-1	5,640249848E-1	3,485625088E-1
5,397987348E0	-1,703625023E-1	3,172124922E-1	-2,722499892E-2
5,418149598E0	-6,715499759E-1	7,343875170E-1	-3,368749917E-1
5,438311980E0	-1,199412465E0	1,415424943E0	-2,154625058E-1
5,458474151E0	-1,326050043E0	1,670899987E0	-1,113750041E-2
5,478636366E0	-7,545999885E-1	1,324949980E0	9,528750181E-2
5,498798527E0	3,096500039E-1	4,629625082E-1	-1,333750039E-2
5,518960926E0	9,374749660E-1	-3,724874854E-1	-2,144999951E-1
5,539123072E0	1,132174969E0	-7,715125084E-1	-1,750375032E-1
5,559285310E0	1,120487452E0	-5,905625224E-1	-1,463000029E-1
5,579447464E0	1,018324971E0	-1,542750001E-1	-1,612875015E-1
5,599609632E0	8,885250092E-1	2,523125112E-1	-1,123374999E-1
5,619772011E0	6,736124754E-1	2,927374840E-1	3,024999984E-2
5,639934252E0	2,180749923E-1	-5,527500063E-2	1,974499971E-1
5,660096392E0	-4,417875111E-1	-3,777124882E-1	3,975124955E-1
5,680258779E0	-9,919250011E-1	-1,138499975E-1	6,241124868E-1
5,700421030E0	-1,263350010E0	9,631875157E-1	7,071624994E-1
5,720583164E0	-9,833999872E-1	1,858175039E0	5,486249924E-1
5,740745315E0	-2,461249940E-2	1,326050043E0	3,825249970E-1
5,760907478E0	8,746374846E-1	1,735250056E-1	1,813624948E-1
5,781069846E0	1,140699983E0	-2,351250052E-1	-8,249999583E-2
5,801232075E0	9,545249939E-1	2,131249942E-2	-2,452999949E-1
5,821394214E0	5,746124983E-1	4,692874849E-1	-2,475000024E-1
5,841556607E0	-1,277374923E-1	9,259250164E-1	-1,368124932E-1
5,861718760E0	-8,780750036E-1	1,220724940E0	-5,912499968E-3
