"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5,881880996E0	-3,382950068E0	5,911950111E0	1,211505032E1
5,902043123E0	-2,722050190E0	5,265000343E0	1,329000092E1
5,922205506E0	-2,121000051E0	5,149950027E0	1,145100021E1
5,942367636E0	-1,426950097E0	5,038050175E0	8,688000679E0
5,962529804E0	-1,405950069E0	4,185000420E0	8,605050087E0
5,982691960E0	-1,522950053E0	3,286950111E0	9,118950844E0
6,002854156E0	-1,336050034E0	3,007050037E0	7,506000519E0
6,023016315E0	-6,229500175E-1	3,265950203E0	4,591950417E0
6,043178714E0	2,929500043E-1	3,874050140E0	2,164050102E0
6,063340868E0	1,201050043E0	4,755000114E0	8,899500370E-1
6,083503073E0	1,593000054E0	5,530950069E0	1,905000091E0
6,103665472E0	6,289500594E-1	6,213000298E0	5,020050049E0
6,123827630E0	-1,294950008E0	6,319050312E0	1,001505089E1
6,143989866E0	-2,554950237E0	6,007050514E0	1,444200039E1
6,164152015E0	-2,763000250E0	5,521050453E0	1,543305111E1
6,184314160E0	-3,012000084E0	5,374950409E0	1,539195061E1
6,204476544E0	-2,380050182E0	5,062050343E0	1,270095062E1
6,224638712E0	-1,147050023E0	4,642950058E0	8,371950150E0
6,244800943E0	-7,879500389E-1	4,767000198E0	5,940000057E0
6,264963328E0	-1,069950104E0	5,599950314E0	4,618050098E0
6,285125467E0	-1,261950016E0	6,594000340E0	3,349050045E0
6,305287698E0	-1,498950124E0	7,333950520E0	2,217000008E0
6,325449799E0	-2,971050024E0	7,795950413E0	3,840000153E0
6,345612034E0	-3,843000174E0	7,348050117E0	7,767000198E0
6,365774171E0	-4,236000061E0	6,474000454E0	1,088595009E1
6,385936543E0	-3,376050234E0	5,743950367E0	1,069005013E1
6,406098702E0	-3,217950106E0	5,967000484E0	8,482049942E0
6,426260870E0	-3,304050207E0	6,406950474E0	7,087050438E0
6,446423117E0	-3,361950159E0	6,457050323E0	6,658050537E0
6,466585505E0	-3,103050232E0	5,914050102E0	7,099050522E0
6,486747668E0	-2,574000120E0	5,497050285E0	7,315950394E0
6,506909901E0	-2,052000046E0	5,380050182E0	6,900000095E0
6,527072289E0	-1,711950064E0	5,397000313E0	6,622050285E0
6,547234442E0	-1,245000005E0	5,389950275E0	6,285000324E0
6,567396663E0	-8,500500321E-1	5,418000221E0	6,052050114E0
6,587558834E0	-1,011000037E0	5,706000328E0	6,153000355E0
6,607721231E0	-1,537050128E0	6,082050323E0	6,567000389E0
6,627883385E0	-2,080950022E0	6,261000156E0	7,264050484E0
6,648045611E0	-2,398950100E0	6,249000072E0	7,903050423E0
6,668207687E0	-2,263050079E0	6,007050514E0	7,888950348E0
6,688369848E0	-1,839000106E0	5,731950283E0	7,783050537E0
