"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
8,157409834E0	2,508000135E0	8,923950195E0	5,407950401E0
8,177572068E0	3,222000122E0	8,335050583E0	4,927050114E0
8,197734746E0	4,356000423E0	7,815000534E0	4,122000217E0
8,217896976E0	4,591050148E0	7,426950455E0	4,093950272E0
8,238059457E0	3,952050209E0	7,846050262E0	4,776000023E0
8,258221905E0	2,874000072E0	8,590950012E0	5,656950474E0
8,278384627E0	2,266050100E0	8,947950363E0	5,595000267E0
8,298547074E0	2,403000116E0	8,836950302E0	4,575000286E0
8,318709300E0	2,905950069E0	8,293950081E0	3,747000217E0
8,338871979E0	3,577950239E0	7,746000290E0	3,720000267E0
8,359034440E0	3,769950151E0	7,504050255E0	4,066950321E0
8,379196902E0	3,150000095E0	7,750050545E0	4,690050125E0
8,399359361E0	2,596950054E0	8,044950485E0	5,080050468E0
8,419521805E0	2,521950006E0	8,100000381E0	4,762050152E0
8,439684276E0	2,815050125E0	7,935000420E0	4,534049988E0
8,459846824E0	3,358050108E0	7,458000183E0	4,371000290E0
8,480009290E0	3,625950098E0	7,132950306E0	4,378950119E0
8,500171718E0	3,592950106E0	7,297950268E0	4,221000195E0
8,520334180E0	3,247950077E0	7,600050449E0	4,302000046E0
8,540496641E0	2,815050125E0	7,936950207E0	4,519950390E0
8,560659343E0	2,107950211E0	8,513999939E0	5,028000355E0
8,580821838E0	2,374050140E0	8,458950043E0	5,722050190E0
8,600984078E0	3,064050198E0	8,164950371E0	5,572950363E0
8,621146818E0	3,976050138E0	7,561050415E0	5,080050468E0
8,641309225E0	4,510050297E0	7,300050259E0	5,338950157E0
8,661471774E0	4,084050179E0	7,786050320E0	5,209050179E0
