"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
5,062470909E0	-1,648624986E-1	7,067500055E-2	2,021249942E-2
5,082633594E0	-8,607500046E-2	7,974999957E-3	4,358749837E-2
5,102796044E0	1,332374960E-1	1,113750041E-2	7,864999771E-2
5,122958308E0	1,959374994E-1	-6,338749826E-2	1,244374961E-1
5,143120740E0	1,810874939E-1	-5,486249924E-2	7,768750191E-2
5,163283127E0	-3,918749839E-2	-6,971249729E-2	-6,283749640E-2
5,183445572E0	-2,371875048E-1	-4,743750021E-2	-1,777874976E-1
5,203608023E0	-2,861374915E-1	-1,443750039E-2	-1,479499936E-1
5,223770543E0	-1,626625061E-1	4,936249927E-2	-1,924999990E-2
5,243932941E0	2,254999988E-2	6,118749827E-2	7,026249915E-2
5,264095370E0	6,077500060E-2	1,319999993E-2	7,768750191E-2
5,284257832E0	6,819999963E-2	3,712499980E-3	2,763750032E-2
5,304420279E0	-5,513750017E-2	-7,012499962E-3	-8,195000142E-2
5,324582746E0	-1,413500011E-1	-5,279999971E-2	-1,064250022E-1
5,344744992E0	-6,366249919E-2	-4,853750020E-2	-7,342500240E-2
5,364907685E0	2,144999988E-2	-7,933750004E-2	-1,594999991E-2
5,385069904E0	5,224999785E-2	-3,464999795E-2	5,527500063E-2
5,405232390E0	7,356250286E-2	2,598750032E-2	1,192125008E-1
5,425394847E0	-4,124999978E-3	-1,759999990E-2	1,755875051E-1
5,445557309E0	3,299999982E-3	-1,017499994E-2	1,681624949E-1
5,465719976E0	-5,197500065E-2	-1,759999990E-2	7,452499866E-2
5,485882439E0	-4,455000162E-2	-2,296249941E-2	-3,726249933E-2
5,506044656E0	-3,286249936E-2	-3,575000167E-2	-1,245749965E-1
5,526207097E0	-1,471249945E-2	-1,443750039E-2	-1,618375033E-1
5,546369800E0	-1,581249945E-2	-1,443750039E-2	-1,544124931E-1
5,566532046E0	-1,361249946E-2	-1,979999989E-2	-7,452499866E-2
5,586694496E0	-4,344999790E-2	1,966249943E-2	2,131249942E-2
5,606856957E0	-1,190750003E-1	5,156249925E-2	1,058750041E-2
5,627019421E0	-1,680250019E-1	2,914999984E-2	-8,524999954E-3
5,647182111E0	-1,083500013E-1	1,539999992E-2	-3,093750030E-2
5,667344376E0	-1,137124971E-1	-6,338749826E-2	-6,173750013E-2
5,687506841E0	-6,476250291E-2	-7,191249728E-2	-4,688749835E-2
5,707669305E0	-2,639999986E-2	-1,979999989E-2	1,168750040E-2
5,727831779E0	2,034999989E-2	-1,127499994E-2	7,864999771E-2
5,747994240E0	2,254999988E-2	3,561250120E-2	1,830125004E-1
5,768156702E0	-9,776250273E-2	1,292500049E-1	2,468124926E-1
5,788319168E0	-1,020250022E-1	1,718750000E-1	1,702249944E-1
5,808481860E0	-1,073874980E-1	9,515000135E-2	7,452499866E-2
5,828644120E0	4,399999976E-3	6,118749827E-2	4,578749835E-2
5,848806552E0	1,427250057E-1	1,746249944E-2	3,932499886E-2
5,868969014E0	1,375000030E-1	-2,832499892E-2	4,895000160E-2
5,889131471E0	8,524999768E-2	5,774999969E-3	8,827500045E-2
5,909293928E0	4,399999976E-3	6,544999778E-2	7,122500241E-2
5,929456634E0	-1,154999994E-2	7,287500054E-2	1,704999991E-2
5,949619105E0	6,077500060E-2	1,101374999E-1	5,747500062E-2
5,969781552E0	1,512500048E-1	7,919999957E-2	1,989624947E-1
5,989944023E0	1,948374957E-1	8,566249907E-2	2,330625057E-1
6,010106245E0	1,182499975E-1	1,611499935E-1	1,234750003E-1
6,030268922E0	-2,007500082E-2	2,217874974E-1	3,616249934E-2
6,050431379E0	-4,235000163E-2	2,123000026E-1	-4,152499884E-2
6,070593838E0	-2,323750034E-2	1,355749965E-1	-8,511249721E-2
