"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
4,581729419E0	-2,375625038E1	-7,800000191E0	-2,178750038E1
4,601728685E0	-2,375625038E1	-8,043750763E0	-2,214375114E1
4,621723715E0	-2,364375114E1	-8,343750000E0	-2,201250076E1
4,641727154E0	-2,351250076E1	-8,043750763E0	-2,201250076E1
4,661727169E0	-2,334375000E1	-8,212500572E0	-2,208750153E1
4,681755844E0	-2,345625114E1	-8,456250191E0	-2,201250076E1
4,701842144E0	-2,351250076E1	-8,400000572E0	-2,231250000E1
4,721578328E0	-2,345625114E1	-8,456250191E0	-2,244375038E1
4,741379727E0	-2,351250076E1	-8,756250381E0	-2,238750076E1
4,761217307E0	-2,321250153E1	-8,756250381E0	-2,208750153E1
4,781132350E0	-2,315625000E1	-8,643750191E0	-2,244375038E1
4,801120660E0	-2,315625000E1	-8,756250381E0	-2,238750076E1
4,821084069E0	-2,334375000E1	-8,756250381E0	-2,244375038E1
4,841129680E0	-2,321250153E1	-8,756250381E0	-2,261250114E1
4,861225103E0	-2,334375000E1	-8,812500000E0	-2,238750076E1
4,881367358E0	-2,345625114E1	-8,943750381E0	-2,238750076E1
4,901519509E0	-2,345625114E1	-8,700000763E0	-2,238750076E1
4,921630214E0	-2,364375114E1	-8,700000763E0	-2,244375038E1
4,941703324E0	-2,375625038E1	-8,700000763E0	-2,208750153E1
4,961748174E0	-2,364375114E1	-8,756250381E0	-2,190000153E1
4,981781508E0	-2,351250076E1	-8,812500000E0	-2,184375000E1
5,001792696E0	-2,334375000E1	-8,756250381E0	-2,190000153E1
5,021801805E0	-2,310000038E1	-8,643750191E0	-2,184375000E1
5,041799353E0	-2,285625076E1	-8,512500763E0	-2,178750038E1
5,061786808E0	-2,280000114E1	-8,756250381E0	-2,208750153E1
5,081782284E0	-2,255625153E1	-8,943750381E0	-2,220000076E1
5,101769769E0	-2,250000000E1	-8,812500000E0	-2,238750076E1
5,121757186E0	-2,255625153E1	-8,812500000E0	-2,261250114E1
